custnmbr,addrcode,custname,name_clean,sStreet1,sStreet2,sCity,sProvState,sCountry,sPostalZip,city_clean,state_clean,country_clean,zip_clean
1DF2EEB,3B7A250,110/140 Coxommepa Road Taguomex Inc.,110 140 COXOMMEPA ROAD TAGUOMEX,200-1737 Woodward Drive,,Ottawa,ON,,K2C0P9,OTTAWA,ON,,K2C0P9
4F516A9,F4C4582,110 CVPW LP,110 CVPW,100 Commerce Valley Drive W.,,Markham,ON,,L3T0A1,MARKHAM,ON,,L3T0A1
1954396,B105B22,1106832 Ontario Ltd.,1106832 ONTARIO,"277 Lakeshore Road E, Suite 200",,Oakville,ON,,L6J1H9,OAKVILLE,ON,,L6J1H9
D3B6C32,A235B1D,1111429 Ontario Inc.,1111429 ONTARIO,100 - 2600 Finch Avenue West,,North York,ON,Canada,M9M2G4,NORTH YORK,ON,CA,M9M2G4
3DDE93F,AB0C85B,1132 International Monumaa Inc.,1132 INTERNATIONAL MONUMAA,2275 Upper Middle Road East Suite 700,,Oakville, ON,,L6H0C3,OAKVILLE,ON,,L6H0C3
4FEA047,75EEB4B,12 Bxoot Inc. c/o Ttuovazt,12 BXOOT C O TTUOVAZT,40 University Ave,,Toronto,ON,,M5J1T1,TORONTO,ON,,M5J1T1
77C05BE,DA9D542,1213773 Ontario Inc. & CXEC,1213773 ONTARIO CXEC,1000-33 Yonge Street,,Toronto,ON,,M5E1G4,TORONTO,ON,,M5E1G4
D25E728,B2928D3,1221894 Ontario Inc.,1221894 ONTARIO,6 Dalecroft Cres.,,Nepean,ON,,K2G5H9,NEPEAN,ON,,K2G5H9
178E7FA,B7D1274,13995301 Canada Inc./ Vuzuomety Apucetuom Services,13995301 CANADA VUZUOMETY APUCETUOM SERVICES,"60 Columbia Way, Suite 116",,Markham,ON,,L3R0C9,MARKHAM,ON,,L3R0C9
ED5AD79,6E1C666,143 Kumg Street Aezt Inc.,143 KUMG STREET AEZT,"2 Carlton Street, Suite #909",,Toronto,ON,,M5B1J3,TORONTO,ON,,M5B1J3
ECFB644,4CEC3E8,"146 Petxumgtom Btuveta, Componumuun Management Group",146 PETXUMGTOM BTUVETA COMPONUMUUN MANAGEMENT GROUP,434 Queen Street,,Ottawa,ON,,K1R7V7,OTTAWA,ON,,K1R7V7
C9B0260,8759AFE,1517 Yomga Street Inc Ontario Region -,1517 YOMGA STREET ONTARIO REGION,NXS #: 1259946 - 75130,700-22 St Clair Ave E,Toronto,ON,,M4T2S5,TORONTO,ON,,M4T2S5
59B13C7,E39AF75,1531 Yomga Haeth Limited Ontario Region,1531 YOMGA HAETH ONTARIO REGION,NXS #: 1259946 - 75140,700-22 St Clair Ave E,Toronto,ON,,M4T2S5,TORONTO,ON,,M4T2S5
E295388,4D9F3A1,1641979 Ontario Inc. o/e,1641979 ONTARIO O E,78 Stormwood Crt,,Brampton,ON,,L6W4J2,BRAMPTON,ON,,L6W4J2
9DC114E,A235B1D,1650 Xewtamca Avenue Wazt,1650 XEWTAMCA AVENUE WAZT,100 - 2600 Finch Avenue West,,North York,ON,Canada,M9M2G4,NORTH YORK,ON,CA,M9M2G4
FF6858C,6545693,180 Toahenbtom Inc.,180 TOAHENBTOM,"3397 American Drive, Unit 21",,Mississauga,ON,,L4V1T8,MISSISSAUGA,ON,,L4V1T8
E030360,0A835FD,185-211 Waztctaak Bxvp Holdings UXC,185 211 WAZTCTAAK BXVP HOLDINGS UXC,"121 King Street West, Suite 2100",PO BOX 112,Toronto,ON,,M5H3T9,TORONTO,ON,,M5H3T9
559B184,5261470,2011 & 2015 Zhabbetp Ave. Aezt LP c/o Teyxot+,2011 2015 ZHABBETP AVE AEZT C O TEYXOT,"2001 Sheppard Ave. E., Suite 204",,Toronto,ON,,M2J4Z8,TORONTO,ON,,M2J4Z8
9781673,D4748BF,2023021 Ontario Limited,2023021 ONTARIO,211-1595 Bedford Highway,,Bedford,NS,,B4A3Y4,BEDFORD,NS,,B4A3Y4
6B4085B,C4D73A6,209 Fout Valley Limited Bettmatzhub,209 FOUT VALLEY BETTMATZHUB,168-555 West 12th Ave,,Vancouver,BC,,V5Z3X7,VANCOUVER,BC,,V5Z3X7
792BE91,4210380,21 KUMG AQUUTUAZ INC. c/o JOMAZ XEMG XEZEXXA,21 KUMG AQUUTUAZ C O JOMAZ XEMG XEZEXXA,11 King Street West,,Toronto,ON,,M5H4C7,TORONTO,ON,,M5H4C7
83AC625,A583327,2236 Pawpmay Holdings,2236 PAWPMAY HOLDINGS,2226 Dewdney Avenue,,Regina,SK,,S4R1H5,REGINA,SK,,S4R1H5
50FFD90,03917D7,224 Nomttaex Road Taguomex Inc.,224 NOMTTAEX ROAD TAGUOMEX,c/o The Regional Group of Companies,"1737 Woodward Drive, 2nd Floor",Ottawa,ON,,K2C0P9,OTTAWA,ON,,K2C0P9
49A82BF,D88A294,2305098 Ontario Inc.,2305098 ONTARIO,"60 Columbia Way, Suite 116",,Markham,ON,Canada,L3R0C9,MARKHAM,ON,CA,L3R0C9
1BC4397,E5299BF,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,2344711 ONTARIO C O GWX TAEXTY EPVUZOTZ,330 University Avenue,PMO S-2,Toronto,ON,,M5G1R8,TORONTO,ON,,M5G1R8
9C9D7AE,E5299BF,2356730 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,2356730 ONTARIO C O GWX TAEXTY EPVUZOTZ,330 University Avenue,PMO S-2,Toronto,ON,,M5G1R8,TORONTO,ON,,M5G1R8
54165F4,13BD53B,2588543 Ontario Inc,2588543 ONTARIO,158 Cresthaven Drive,,Halifax,NS,,B3M4B9,HALIFAX,NS,,B3M4B9
AC32B01,8FE46EF,3179372 Canada Inc.,3179372 CANADA,Pointe-Claire,"6600, route transcanadienne, #140-101",Pointe-Claire,QC,Canada,H9R4S2,POINTE-CLAIRE,QC,CA,H9R4S2
9102E31,AC3FB6C,3314818 MZ Ltd,3314818 MZ,PO Box 36116 RPO Spring Garden,,Halifax,NS,,B3J3S9,HALIFAX,NS,,B3J3S9
F13180F,3D05819,3325399 MZ Limited,3325399 MZ,c/o Compass Commercial Realty,"3 Spectacle Lake Drive, Suite 290",Dartmouth,NS,,B3B1W8,DARTMOUTH,NS,,B3B1W8
6BC1820,24E0CE3,3346296 Nemutobe Limited c/o,3346296 NEMUTOBE C O,200 - 1355 Taylor Ave,,Winnipeg,MN,,R3M3Y9,WINNIPEG,MN,,R3M3Y9
7CBC45E,BA1921E,3690590 Canada Inc,3690590 CANADA,"768 boul. St-Joseph, bureau 100",,Gatineau,QC,,J8Y4B8,GATINEAU,QC,,J8Y4B8
40FE3C8,33F5007,50 Hoxxy Street Bettmatzhub Ltd.,50 HOXXY STREET BETTMATZHUB,"1 Queen Street East, Suite #2200",,Toronto,ON,,M5C2W5,TORONTO,ON,,M5C2W5
