custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip,name_clean,city_clean,state_clean,country_clean,zip_clean
E9F7874,2A64420,1111429 Ontario Inc.                                             ,100 - 2600 Finch Avenue West                                 ,                                                             ,                                                             ,CA     ,North York                         ,Canada                                                       ,ON                           ,M9M 2G4    ,1111429 ONTARIO,NORTH YORK,ON,CA,M9M2G4
B08103F,3AA8CA3,1121 INTERNATIONAL MONUMAA INC                                   ,C/O FENGATE PROPERTY MGMT LTD                                ,2275 UPPER MIDDLE RD E                                       ,SUITE 700                                                    ,CA     ,OAKVILLE                           ,Canada                                                       ,ON                           ,L6H 0C3    ,1121 INTERNATIONAL MONUMAA,OAKVILLE,ON,CA,L6H0C3
C9F590F,3AA8CA3,1132 INTERNATIONAL MONUMAA INC                                   ,C/O FENGATE PROPERTY MGMT LTD                                ,2275 UPPER MIDDLE RD E                                       ,SUITE 700                                                    ,CA     ,OAKVILLE                           ,Canada                                                       ,ON                           ,L6H 0C3    ,1132 INTERNATIONAL MONUMAA,OAKVILLE,ON,CA,L6H0C3
B67A336,DBEFAEA,1132 International Monumaa Inc.                                  ,2275 Upper Middle Road East Suite 700                        ,                                                             ,                                                             ,CA     ,Oakville                           ,Canada                                                       ,ON                           ,L6H 0C3    ,1132 INTERNATIONAL MONUMAA,OAKVILLE,ON,CA,L6H0C3
E57BC4C,F1D7789,1213773 Ontario Inc. & CXEC                                      ,1000-33 Yonge Street                                         ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M5E 1G4    ,1213773 ONTARIO CXEC,TORONTO,ON,CA,M5E1G4
DAF8FBB,5A98A43,1503657 ONTARIO LTD                                              ,68 YORKVILLE AVE                                             ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5R 3V7    ,1503657 ONTARIO,TORONTO,ON,CA,M5R3V7
028B7F1,F1D7789,1578 Yomga Street Inc. Ontario Region                            ,NXS #: 1259946 - 75150                                       ,700-22 St Clair Ave E                                        ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M4T 2S5    ,1578 YOMGA STREET ONTARIO REGION,TORONTO,ON,CA,M4T2S5
35AAE33,2A64420,1650 Xewtamca Avenue Wazt                                        ,100 - 2600 Finch Avenue West                                 ,                                                             ,                                                             ,CA     ,North York                         ,Canada                                                       ,ON                           ,M9M 2G4    ,1650 XEWTAMCA AVENUE WAZT,NORTH YORK,ON,CA,M9M2G4
CBB6A04,8091A65,180 Toahenbtom Inc.                                              ,"3397 American Drive, Unit 21                                 ",                                                             ,                                                             ,CA     ,Mississauga                        ,Canada                                                       ,ON                           ,L4V 1T8    ,180 TOAHENBTOM,MISSISSAUGA,ON,CA,L4V1T8
2CFDFD5,F1D7789,185-211 Waztctaak Bxvp Holdings UXC                              ,"121 King Street West, Suite 2100                             ",PO BOX 112                                                   ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M5H 3T9    ,185 211 WAZTCTAAK BXVP HOLDINGS UXC,TORONTO,ON,CA,M5H3T9
9121B68,F1D7789,2011 & 2015 ZHABBETP AVE AEZT LP                                 ,2001 SHEPPARD AVE E SUITE 203                                ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M2J 4Z8    ,2011 2015 ZHABBETP AVE AEZT,TORONTO,ON,CA,M2J4Z8
9121B68,E45E887,2011 & 2015 ZHABBETP AVE AEZT LP                                 ,C/O ADGAR INVESTMENT & DEVELOPMENT                           ,2001 SHEPPARD AVE E SUITE 204                                ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M2J 4z8    ,2011 2015 ZHABBETP AVE AEZT,TORONTO,ON,CA,M2J4Z8
9121B68,7FB2547,2011 & 2015 ZHABBETP AVE AEZT LP                                 ,2001 & 2005 SHEPPARD AVE E                                   ,                                                             ,                                                             ,CA     ,TORONTO                            ,CA                                                           ,ONTARIO                      ,M2J 4Z8    ,2011 2015 ZHABBETP AVE AEZT,TORONTO,ON,CA,M2J4Z8
