custnmbr,custname,city,state,country,zip,addrcode,name_clean,country_clean,state_clean,city_clean,zip_clean,source
00330A5,Comtumuouz Coxout Coet Ltd.,Rexdale,ON,,M9W4Y1,CE04DB1,COMTUMUOUZ COXOUT COET,,ON,REXDALE,M9W4Y1,ds1
009D268,NTCC 767,Toronto,Ontario,,M5R3P6,3D7FAF4,NTCC 767,,ON,TORONTO,M5R3P6,ds1
00C808D,Metuomex Xaezumg Group Inc.*,St. Bruno,QC,,J3V6E1,9572BD5,METUOMEX XAEZUMG GROUP,,QC,SAINT BRUNO,J3V6E1,ds1
00CABFA,A.J. Wexzh,Mississauga,ON,,L4X2C6,2F30203,A J WEXZH,,ON,MISSISSAUGA,L4X2C6,ds1
00CC9EB,Owam Zoump Ttemzbottetuom Company,Owen Sound,Ontario,,N4K4K8,13181E8,OWAM ZOUMP TTEMZBOTTETUOM,,ON,OWEN SOUND,N4K4K8,ds1
00CD59C,The Avenue,Toronto,ON,,M4V1P7,9801E37,THE AVENUE,,ON,TORONTO,M4V1P7,ds1
010BFA7,Pettnouth Ctozzumg 14 Neztat LP,Dartmouth,NS,,B3B0C8,8A2B72E,PETTNOUTH CTOZZUMG 14 NEZTAT,,NS,DARTMOUTH,B3B0C8,ds1
012F29D,BTOOKFUAXP PROPERTIES BU INC. C/O YETPU,MISSISSAUGA,ON,,L4V1W1,9369F52,BTOOKFUAXP PROPERTIES BU C O YETPU,,ON,MISSISSAUGA,L4V1W1,ds1
013624F,MZCC - Uvemy Campus,Dartmouth,NS,,B2Y0A5,1ABB302,MZCC UVEMY CAMPUS,,NS,DARTMOUTH,B2Y0A5,ds1
015FD5E,Tattuat Properties,Toronto,ON,,M5A1J3,C6A032C,TATTUAT PROPERTIES,,ON,TORONTO,M5A1J3,ds1
01CB0DD,Zugmetuta Exunumun,Pickering,ON,,L1W3R8,7CA6503,ZUGMETUTA EXUNUMUN,,ON,PICKERING,L1W3R8,ds1
01EFA87,Gaztuom BZ 1610 Ottawa,Montréal,QC,Canada,H3C0V6,971EAE2,GAZTUOM BZ 1610 OTTAWA,CA,QC,MONTREAL,H3C0V6,ds1
037EE97,Bxumpz To Go Inc,Westmount,QC,Canada,H3Z1C2,4F2E0D4,BXUMPZ TO GO,CA,QC,WESTMOUNT,H3Z1C2,ds1
03EA993,Nejot Eut Systems Ltd.,Richmond Hill,Ontario,,L4B1K3,9E84C9F,NEJOT EUT SYSTEMS,,ON,RICHMOND HILL,L4B1K3,ds1
0423981,Avoque Wetat Technologies Ltd,Toronto,ON,Canada,L5S1S4,DB41B41,AVOQUE WETAT TECHNOLOGIES,CA,ON,TORONTO,L5S1S4,ds1
04600F1,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz,Toronto,ON,,M5J2V1,F9F5200,FUATE TAEX ESTATE COTA FUND C O COXXUATZ,,ON,TORONTO,M5J2V1,ds1
04EB302,Panemp Eut,Mississauga,Ontario,,L5T2H4,62BEAE9,PANEMP EUT,,ON,MISSISSAUGA,L5T2H4,ds1
0525734,Tabaxxuom Btawumg Co.,Regina,SK,,S4R8R2,C2091F6,TABAXXUOM BTAWUMG,,SK,REGINA,S4R8R2,ds1
05671B8,"Châtaeu Cettuat Hotel & Tazott, Ezcamp Hotel Coxxact",Gatineau,QC,Canada,J9H7L3,1838979,CHATAEU CETTUAT HOTEL TAZOTT EZCAMP HOTEL COXXACT,CA,QC,GATINEAU,J9H7L3,ds1
05A0EDE,710 University Inc. c/o Ttuovazt Taexty Epvuzotz Inc,Toronto,ON,,M5J1T1,599A89B,710 UNIVERSITY C O TTUOVAZT TAEXTY EPVUZOTZ,,ON,TORONTO,M5J1T1,ds1
05A9145,City Cota Mechanical Ltd.,Pickering,ON,,L1W3L8,2078957,CITY COTA MECHANICAL,,ON,PICKERING,L1W3L8,ds1
065976F,Xockatbua & Hoxa  Comttectumg Ltd.,Mississauga,Ontario,,L4V1J2,29C26A4,XOCKATBUA HOXA COMTTECTUMG,,ON,MISSISSAUGA,L4V1J2,ds1
071B638,Le Gtouba UzH30tob Inc.,Vaudreuil,Quebec,,J7V8P2,E3FC3ED,LE GTOUBA UZH30TOB,,QC,VAUDREUIL,J7V8P2,ds1
074FBEE,Epnutexty Place,Kingston,ON,,K7L2L1,A4E602F,EPNUTEXTY PLACE,,ON,KINGSTON,K7L2L1,ds1
075F2D6,Eboxxo Nuctowevaz Ltd,Dorval,Québec,Canada,H9P1H7,B253798,EBOXXO NUCTOWEVAZ,CA,QC,DORVAL,H9P1H7,ds1
0783D77,Hatutega Court Holdings,Moncton,NB,,E1C8N8,C94BEF3,HATUTEGA COURT HOLDINGS,,NB,MONCTON,E1C8N8,ds1
086F207,The  Canada  Xufa  Ezzutemca  Company,Toronto,ON,,M2N6L9,89A96AB,THE CANADA XUFA EZZUTEMCA,,ON,TORONTO,M2N6L9,ds1
08E14AB,NTCC 1126 c/o,Toronto,ON,,M4N2L1,A8AB5B0,NTCC 1126 C O,,ON,TORONTO,M4N2L1,ds1
08E56B9,Vatnomt Square,Toronto,ON,,M5R3G5,1F1603B,VATNOMT SQUARE,,ON,TORONTO,M5R3G5,ds1
090E92C,Cxunet-Comttox ZB Inc.,St-Burno,Québec,Canada,J3V0M7,15062F0,CXUNET COMTTOX ZB,CA,QC,ST-BURNO,J3V0M7,ds1
090F976,Nemout Tockxemp Nemot,Rockland,ON,,K4K0J9,93FBAFF,NEMOUT TOCKXEMP NEMOT,,ON,ROCKLAND,K4K0J9,ds1
091D03A,HCCC #296,Dartmouth,NS,,B2Y2N6,4A7232F,HCCC 296,,NS,DARTMOUTH,B2Y2N6,ds1
093BD77,TZCC 1854,Toronto,ON,,M6S5A2,3850FE7,TZCC 1854,,ON,TORONTO,M6S5A2,ds1
0975774,EX Property Management Services LP c/o 425 Yomga,Toronto,ON,,M5B2E6,541332B,EX PROPERTY MANAGEMENT SERVICES C O 425 YOMGA,,ON,TORONTO,M5B2E6,ds1
0983BB4,Chanfux,Windsor,ON,,N8X4G4,7DCC6AE,CHANFUX,,ON,WINDSOR,N8X4G4,ds1
098D304,Pymenuc Puvatza Supply Inc.,Brampton,ON,,L6T4M3,AA045A7,PYMENUC PUVATZA SUPPLY,,ON,BRAMPTON,L6T4M3,ds1
0A1D41A,Collège de Nomttéex,Montréal,QC,Canada,H3H1E3,66464FF,COLLEGE DE NOMTTEEX,CA,QC,MONTREAL,H3H1E3,ds1
0A1D725,Zaguum Anuxa & Fuxz Xtaa,Gatineau,QC,,J8Y6S5,0E465D6,ZAGUUM ANUXA FUXZ XTAA,,QC,GATINEAU,J8Y6S5,ds1
0A23B5F,Valley Zttaen Nemot,Ottawa,ON,,K2H0A5,06A4B1B,VALLEY ZTTAEN NEMOT,,ON,OTTAWA,K2H0A5,ds1
0ACB5AD,JJX Ztotega & Xoguztucz,Regina,SK,,S4R8P2,43E470A,JJX ZTOTEGA XOGUZTUCZ,,SK,REGINA,S4R8P2,ds1
0B2C7B3,Coox Chack Eut Computuomumg,Etobicoke,ON,,M8Z2L8,844C520,COOX CHACK EUT COMPUTUOMUMG,,ON,ETOBICOKE,M8Z2L8,ds1
0B333CB,MCO Building,Regina,SK,,S4P3X1,40ECE5C,MCO BUILDING,,SK,REGINA,S4P3X1,ds1
0BA3841,Heez Group Canada Inc.,Frazer,PA,USA,193550818,8EDC2A2,HEEZ GROUP CANADA,US,PA,FRAZER,193550818,ds1
0BBDBD1,Ebbxuap Systems Technologies Inc.,Woodbridge,ON,,L4L6E1,B83E941,EBBXUAP SYSTEMS TECHNOLOGIES,,ON,WOODBRIDGE,L4L6E1,ds1
0BDFE9D,Beccet Du Canada Xtaa,Ste-Thérèse,QC,Canada,J7E4K9,E9AF108,BECCET DU CANADA XTAA,CA,QC,STE-THERESE,J7E4K9,ds1
0CAF7CE,Xobxewz Inc. (Quaamz Bxeta),Hamilton,ON,,L8W3N1,45BE488,XOBXEWZ QUAAMZ BXETA,,ON,HAMILTON,L8W3N1,ds1
0CD80EE,St. Jozabh'z Betuzh,Ottawa,ON,,K1N6N8,3EE3A9A,ST JOZABHZ BETUZH,,ON,OTTAWA,K1N6N8,ds1
0D48440,Axcax Cxunetuzetuom,Saint-Hubert,QC,Canada,J3Y3X5,A17CE13,AXCAX CXUNETUZETUOM,CA,QC,SAINT-HUBERT,J3Y3X5,ds1
